State,Dem,Rep
AK,41.3,55.3
AL,38.4,60.7
AR,36.9,60.5
AZ,44.1,54.2
CA,59.3,38.4
CO,51.2,46.5
CT,58.4,40.4
DC,91.4,7.1
DE,58.6,40.0
FL,50.0,49.1
GA,45.4,53.4
HI,70.6,27.8
IA,52.1,46.5
ID,32.6,64.5
IL,57.3,41.1
IN,43.8,54.3
KS,37.8,60.0
KY,37.8,60.5
LA,40.6,57.8
MA,60.8,37.6
MD,61.7,36.6
ME,56.0,40.9
MI,54.3,44.8
MN,52.8,45.1
MO,44.3,53.9
MS,43.5,55.5
MT,41.8,55.3
NC,48.4,50.6
ND,38.9,58.7
NE,37.8,60.5
NH,52.2,46.5
NJ,58.0,40.9
NM,52.9,43.0
NV,52.3,45.7
NY,62.6,36.0
OH,50.1,48.2
OK,33.2,66.8
OR,54.5,42.7
PA,52.0,46.8
RI,62.7,35.5
SC,44.0,54.6
SD,39.9,57.9
TN,39.0,59.5
TX,41.4,57.2
UT,24.9,72.8
VA,50.8,47.8
VT,67.0,31.2
WA,55.9,41.7
WI,52.8,46.1
WV,35.5,62.3
WY,28.0,69.3
